US,Cabernet Sauvignon,96
Spain,Tinta de Toro,96
US,Sauvignon Blanc,96
US,Pinot Noir,96
France,Provence red blend,95
Spain,Tinta de Toro,95
Spain,Tinta de Toro,95
Spain,Tinta de Toro,95
US,Pinot Noir,95
US,Pinot Noir,95
Italy,Friulano,95
US,Pinot Noir,95
US,Pinot Noir,95
France,Tannat,95
US,Pinot Noir,95
US,Chardonnay,95
US,Cabernet Sauvignon,95
Spain,Tempranillo,95
France,Malbec,95
US,Pinot Noir,95
US,Rosé,95
Spain,Tempranillo Blend,95
Spain,Tinta de Toro,95
US,Chardonnay,95
US,Pinot Noir,95
New Zealand,Chardonnay,94
US,Pinot Noir,94
US,Pinot Noir,94
US,Pinot Noir,94
US,Syrah,94
Bulgaria,Mavrud,90
US,Chardonnay,90
Italy,Sangiovese,90
France,Sparkling Blend,90
US,Chardonnay,90
Italy,Sangiovese,90
France,Rhône-style White Blend,90
Italy,Sangiovese,90
Italy,Sangiovese,90
Italy,Red Blend,90
Spain,Mencía,90
Spain,Palomino,90
US,Petite Sirah,90
Italy,Red Blend,90
France,Syrah,90
Italy,Red Blend,90
Italy,Sangiovese,90
US,Cabernet Sauvignon,90
Italy,Sangiovese,90
US,Cabernet Sauvignon,90
Italy,Sangiovese,90
France,Chardonnay,90
France,Sauvignon Blanc,90
France,Pinot Noir,90
US,Chardonnay,90
US,Cabernet Sauvignon,90
France,Sauvignon Blanc,90
US,Riesling,90
US,Cabernet Sauvignon-Syrah,90
Italy,Red Blend,90
Argentina,Malbec,91
Australia,Pinot Noir,91
Argentina,Malbec,91
France,Chardonnay,91
Portugal,Portuguese Red,91
US,Syrah,91
France,Chardonnay,91
US,Cabernet Sauvignon,91
US,Pinot Noir,91
US,Cabernet Sauvignon,91
US,Cabernet Sauvignon,91
US,Pinot Noir,91
Italy,Nebbiolo,91
US,Pinot Gris,91
Portugal,Portuguese Red,91
US,Pinot Noir,91
France,Chardonnay,91
US,Sauvignon Blanc,91
US,Cabernet Sauvignon,91
Italy,Nebbiolo,91
US,Pinot Noir,91
Israel,Cabernet Sauvignon,91
Italy,Nebbiolo,91
Italy,Nebbiolo,91
Italy,Nebbiolo,91
Italy,Nebbiolo,91
France,Chardonnay,91
US,Cabernet Sauvignon,91
US,Pinot Noir,91
US,Meritage,91
US,Cabernet Sauvignon,86
Portugal,Baga,86
Italy,Glera,86
US,Chardonnay,86
Portugal,Portuguese Red,86
France,Malbec-Merlot,86
US,Chardonnay,86
US,Cabernet Sauvignon,86
France,Merlot-Malbec,86
France,Ugni Blanc-Colombard,86
US,Viognier,86
US,Cabernet Sauvignon,86
Italy,Sangiovese,86
US,Cabernet Sauvignon-Cabernet Franc,86
US,Moscato,86
US,Pinot Grigio,86
US,Cabernet Franc,86
US,Chardonnay,86
US,White Blend,86
US,Chardonnay,86
Portugal,Portuguese Red,86
Argentina,Rosé,86
US,Cabernet Sauvignon,86
US,Riesling,86
South Africa,Sauvignon Blanc,86
Argentina,Malbec,86
Spain,Monastrell,86
France,Rosé,86
France,Gamay,86
Portugal,Portuguese Red,86
US,Pinot Noir,91
US,Pinot Noir,91
US,Sparkling Blend,91
US,Chardonnay,91
US,Pinot Noir,91
US,Pinot Noir,91
US,Zinfandel,90
US,Cabernet Sauvignon,90
Spain,Tempranillo,90
Italy,White Blend,90
Italy,Greco,90
US,Chardonnay,90
US,Barbera,90
US,Chardonnay,90
US,Cabernet Sauvignon,90
US,Grenache,90
US,Zinfandel,90
US,Rhône-style Red Blend,90
Spain,Tempranillo,90
France,Rosé,90
France,Rosé,90
US,Sauvignon Blanc,90
US,Grenache,90
US,Chardonnay,90
US,Albariño,90
